rho[g/cm^3]	U[kJ/kg]	P[GPa]	T[K]
8.373321838980626	-28100.49566824437	-15.634802535565893	300.0
8.451579038078322	-28121.704176469888	-18.18691488733296	300.0
8.531307589667481	-28140.60053369118	-16.132494293963397	300.0
8.612563013596215	-28157.39536288202	-14.250446775174847	300.0
8.69537388716268	-28171.90248837378	-12.04689305025165	300.0
8.779793926886175	-28183.876261775815	-9.711061098035875	300.0
8.865869868433377	-28193.24075538298	-7.3218660205553086	300.0
8.953651555744111	-28199.794513991154	-4.472585661026335	300.0
9.04319085313009	-28203.18916348754	-1.9396731720949856	300.0
9.134536415284895	-28203.886146791006	0.8157458252073851	300.0
9.227744816012672	-28201.027457468157	4.040823008013799	300.0
9.322872237594776	-28194.756253298685	7.364480331760444	300.0
9.419992031791764	-28184.54127551614	10.914294140001555	300.0
9.519147904454712	-28170.51792460603	14.360323682843587	300.0
9.620414174341741	-28152.3519306351	18.5035481129674	300.0
9.72385894153398	-28129.515795982566	22.49352836610978	300.0
9.829554039968706	-28102.376935467404	26.64992417845424	300.0
9.937567395109138	-28070.113543445714	31.44618896794131	300.0
10.04798580343975	-28032.618427924477	36.210782189826936	300.0
10.160887196686009	-27989.571658269535	41.66222898367486	300.0
10.276348685900405	-27940.38414844571	46.940951602527946	300.0
10.39447043211771	-27885.454812646047	52.44557794467539	300.0
10.515334844170093	-27823.781076273703	58.81503518660264	300.0
10.639046705953001	-27755.139152436775	65.0411546421216	300.0
10.765702285348116	-27679.27304961902	72.31716878063001	300.0
10.895407915836524	-27595.119545103986	79.2664798094533	300.0
11.028281916908476	-27503.571200611204	86.4675260385907	300.0
11.164431857349642	-27402.949379477708	94.95477683045584	300.0
11.30398652451786	-27293.061324113314	103.7335697352624	300.0
11.447074202492905	-27173.07888201376	112.93767208471242	300.0
11.593836145450243	-27042.91883829375	122.32301561514348	300.0
11.744403595158587	-26901.940156404075	132.0955246786716	300.0
11.89893555931468	-26749.574671521863	143.41457824293025	300.0
12.057588384979205	-26583.981078400924	155.4426051015347	300.0
12.220526748043522	-26405.442401594006	167.39158462473517	300.0
12.387929119735105	-26212.964058867947	180.07635220954202	300.0
12.559984018899243	-26005.901487614057	194.2849743920699	300.0
12.736889432864322	-25782.325231182574	209.3317928057245	300.0
12.91884140893562	-25542.276426906286	224.5372696865388	300.0
13.106072739498611	-25284.38249955464	241.3193341857824	300.0
13.29880527367511	-25007.301668120934	259.3282731662439	300.0
13.497298179661756	-24709.8242611274	277.9607490767281	300.0
13.701804622927341	-24391.102380155036	297.9787903092595	300.0
13.912592806630395	-24049.109719636625	319.8740242355409	300.0
14.1299821985094	-23682.420813582845	342.27235996413253	300.0
14.354273006347015	-23289.94258531475	367.3176734244871	300.0
14.58579067871181	-22868.452221672153	393.3624113033335	300.0
14.824898999126455	-22417.97064393405	421.3385602489216	300.0
15.071982940199147	-21934.41468181167	451.2906588341253	300.0
15.327438932938916	-21417.469576241987	483.5420461975662	300.0
15.591703705827788	-20862.61845236246	517.7905981133636	300.0
15.86524690964453	-20269.566532052646	554.5227430844485	300.0
16.14855759515529	-19633.12087839221	594.4010590262258	300.0
16.44215978745781	-18952.322874909652	635.7778713325549	300.0
16.746649279866133	-18222.74943973947	681.741607228581	300.0
17.06262215768325	-17440.245706197456	732.1559135632133	300.0
17.390750190768554	-16600.34322387565	784.3895333779504	300.0
17.731743505067787	-15701.169658209457	840.1876044755836	300.0
18.086376479010184	-14735.971205812042	903.1101601049312	300.0
18.455492353418098	-13699.042241547078	969.5201934650406	300.0
18.83997413770641	-12586.550885234927	1039.8936128546138	300.0
