V[Angstroms^3]	rho[g/cm^3]	P[GPa]	Pst.dev.[GPa]	T[K]	Tst.dev.[K]	source_unique_id	source_citation	source_year	science_material	science_formula	science_phase	science_method	data_delimiter	MDsteps	dP[GPa]	dT[K]	U[kJ/kg]
	5.183	145.2		5500.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	28069.0	2.42	254.0	
	4.89	118.08		5499.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	5441.0	2.17	252.0	
	4.366	78.34		5499.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	4839.0	2.01	252.0	
	3.915	51.93		5501.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	11428.0	1.86	271.0	
	3.524	34.01		5500.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	6180.0	1.66	260.0	
	3.183	22.44		5501.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	6255.0	1.55	254.0	
	2.885	14.33		5500.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	5883.0	1.43	256.0	
	2.623	9.19		5500.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	6164.0	1.22	261.0	
	2.187	3.59		5500.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	4931.0	1.04	253.0	
	2.004	2.22		5499.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	4713.0	1.0	278.0	
	1.842	1.33		5500.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	10476.0	0.88	246.0	
	1.343	0.14		5500.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	7233.0	0.64	234.0	
	1.009	-0.04		5498.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	6344.0	0.48	248.0	
	0.883	-0.02		5499.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	4500.0	0.42	276.0	
	0.777	-0.02		5501.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	4021.0	0.35	284.0	
	0.688	0.07		5499.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	3171.0	0.33	278.0	
	0.611	0.04		5503.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	879.0	0.25	197.0	
	4.89	122.21		6001.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	4500.0	2.29	280.0	
	4.366	82.32		6000.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	4500.0	2.09	282.0	
	3.915	54.85		6000.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	22707.0	1.89	287.0	
	3.183	24.37		6000.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	19400.0	1.61	298.0	
	2.623	10.5		6000.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	17635.0	1.29	273.0	
	2.187	4.52		6000.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	16238.0	1.09	287.0	
	1.842	1.99		6000.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	12868.0	0.92	285.0	
	1.566	0.87		6000.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	10836.0	0.76	304.0	
	1.343	0.44		5997.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	3582.0	0.63	292.0	
	1.16	0.23		6000.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	8830.0	0.57	270.0	
	1.009	0.21		6001.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	8500.0	0.49	298.0	
	0.883	0.14		5999.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	4445.0	0.4	267.0	
	0.777	0.12		5999.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	4890.0	0.36	292.0	
	0.688	0.12		5997.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	3328.0	0.34	310.0	
	0.611	0.12		6001.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	6021.0	0.29	253.0	
	0.489	0.1		6001.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	2655.0	0.23	313.0	
