V[Angstroms^3]	rho[g/cm^3]	P[GPa]	Pst.dev.[GPa]	T[K]	Tst.dev.[K]	source_unique_id	source_citation	source_year	science_material	science_formula	science_phase	science_method	data_delimiter	MDsteps	dP[GPa]	dT[K]	U[kJ/kg]
1157.63	4.64	83.8	2.66	4000.27	256.86	solomatovacaracas2021	Solomatova and Caracas 2021	2021	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"				
1331.0	4.04	48.33	2.23	3999.62	256.87	solomatovacaracas2021	Solomatova and Caracas 2021	2021	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"				
1520.88	3.53	26.7	2.18	3999.86	278.33	solomatovacaracas2021	Solomatova and Caracas 2021	2021	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"				
1728.0	3.11	14.54	1.92	4000.98	268.29	solomatovacaracas2021	Solomatova and Caracas 2021	2021	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"				
1953.13	2.75	6.77	1.71	4000.75	270.06	solomatovacaracas2021	Solomatova and Caracas 2021	2021	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"				
2197.0	2.44	2.69	1.49	3999.97	260.05	solomatovacaracas2021	Solomatova and Caracas 2021	2021	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"				
2460.38	2.18	0.57	1.37	4000.01	262.61	solomatovacaracas2021	Solomatova and Caracas 2021	2021	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"				
2744.0	1.96	-0.19	1.3	4000.33	284.98	solomatovacaracas2021	Solomatova and Caracas 2021	2021	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"				
1000.0	5.37	157.57	3.2	5000.13	324.04	solomatovacaracas2021	Solomatova and Caracas 2021	2021	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"				
1157.63	4.64	92.36	2.97	5000.15	324.36	solomatovacaracas2021	Solomatova and Caracas 2021	2021	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"				
1331.0	4.04	53.96	2.68	5000.02	331.12	solomatovacaracas2021	Solomatova and Caracas 2021	2021	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"				
1520.88	3.53	31.06	2.32	5000.19	309.46	solomatovacaracas2021	Solomatova and Caracas 2021	2021	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"				
1728.0	3.11	17.53	2.06	4999.77	355.02	solomatovacaracas2021	Solomatova and Caracas 2021	2021	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"				
1953.13	2.75	9.38	1.82	5000.17	340.97	solomatovacaracas2021	Solomatova and Caracas 2021	2021	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"				
2197.0	2.44	4.64	1.59	5000.4	308.7	solomatovacaracas2021	Solomatova and Caracas 2021	2021	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"				
2460.38	2.18	2.12	1.63	4999.38	338.3	solomatovacaracas2021	Solomatova and Caracas 2021	2021	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"				
2744.0	1.96	0.59	1.41	4999.28	318.44	solomatovacaracas2021	Solomatova and Caracas 2021	2021	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"				
3048.63	1.76	0.11	1.24	5000.48	324.52	solomatovacaracas2021	Solomatova and Caracas 2021	2021	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"				
3375.0	1.59	-0.26	1.17	5000.17	339.03	solomatovacaracas2021	Solomatova and Caracas 2021	2021	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"				
	6.217	240.26		2000.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	4000.0	1.21	93.0	
	5.5	146.93		2000.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	4000.0	1.05	91.0	
	4.89	88.17		2001.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	3675.0	1.1	90.0	
	4.366	51.06		2000.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	6831.0	1.18	94.0	
	3.915	31.92		1999.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	4000.0	1.05	86.0	
	3.524	18.61		2000.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	6280.0	0.97	90.0	
	3.183	10.38		1998.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	1431.0	1.55	266.0	
	3.029	7.45		1999.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	4000.0	0.96	93.0	
	2.885	4.77		2000.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	5221.0	0.91	96.0	
	2.75	3.15		1999.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	1017.0	1.27	98.0	
	2.698	2.28		2001.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	4894.0	0.92	102.0	
	2.623	1.52		2000.0		caracas2024	Caracas 2024	2024	pyrolite	NaCa2Al3Fe4Mg30Si24O65	liquid	MD	"	"	4000.0	0.89	93.0	
