rho[g/cm^3]	MDsteps	P[GPa]	dP[GPa]	T[K]	dT[K]
0.688	3328	0.12	0.34	5997	310
0.611	6021	0.12	0.29	6001	253
0.489	2655	0.10	0.23	6001	313











